index,Country,State
591,Kenya,Tana River County
592,Kenya,Tana River County
593,Kenya,Tana River County
594,Kenya,Tana River County
595,Kenya,Tana River County
596,Kenya,Tana River County
597,Kenya,Tana River County
598,Kenya,Tana River County
599,Kenya,Tana River County
600,Kenya,Tana River County
601,Kenya,Tana River County
602,Kenya,Tana River County
603,Kenya,Tana River County
604,Kenya,Tana River County
605,Kenya,Tana River County
606,Kenya,Tana River County
607,Kenya,Tana River County
608,Kenya,Tana River County
609,Kenya,Tana River County
610,Kenya,Tana River County
611,Kenya,Tana River County
612,Kenya,Tana River County
613,Kenya,Tana River County
614,Kenya,Tana River County
615,Kenya,Tana River County
616,Kenya,Tana River County
617,Kenya,Tana River County
618,Kenya,Tana River County
619,Kenya,Tana River County
620,Kenya,Tana River County
621,Kenya,Tana River County
622,Kenya,Tana River County
623,Kenya,Tana River County
624,Kenya,Tana River County
625,Kenya,Tana River County
626,Kenya,Tana River County
627,Kenya,Tana River County
628,Kenya,Tana River County
629,Kenya,Tana River County
630,Kenya,Tana River County
631,Kenya,Tana River County
632,Kenya,Tana River County
633,Kenya,Tana River County
634,Kenya,Tana River County
635,Kenya,Narok
636,Kenya,Narok
637,Kenya,Narok
638,Kenya,Narok
639,Kenya,Narok
640,Kenya,Narok
641,Kenya,Narok
642,Kenya,Narok
643,Kenya,Narok
644,Kenya,Narok
645,Kenya,Narok
646,Kenya,Narok
647,Kenya,
648,Kenya,
649,Kenya,Narok
650,Kenya,Narok
651,Kenya,Narok
652,Kenya,Narok
653,Kenya,Narok
654,Kenya,Narok
655,Kenya,Narok
656,Kenya,Narok
657,Kenya,Narok
658,Kenya,Narok
659,Kenya,Narok
660,Kenya,Narok
661,Kenya,
662,Kenya,
663,Kenya,Narok
664,Kenya,Narok
665,Kenya,Narok
666,Kenya,Narok
667,Madagascar,Atsinanana
668,Madagascar,Atsinanana
669,Madagascar,Atsinanana
670,Madagascar,Atsinanana
671,Madagascar,Atsinanana
672,Madagascar,Atsinanana
673,Madagascar,Atsinanana
674,Madagascar,Atsinanana
675,Madagascar,Atsinanana
676,Madagascar,Atsinanana
677,Madagascar,Atsinanana
678,Madagascar,Atsinanana
679,Madagascar,Atsinanana
680,Madagascar,Atsinanana
681,Madagascar,Atsinanana
682,Madagascar,Atsinanana
683,Madagascar,Atsinanana
684,Madagascar,Atsinanana
685,Madagascar,Atsinanana
686,Madagascar,Atsinanana
687,Madagascar,Atsinanana
688,Madagascar,Atsinanana
689,Madagascar,Atsinanana
690,Madagascar,Atsinanana
691,Madagascar,Atsinanana
692,Madagascar,Atsinanana
693,Madagascar,Atsinanana
694,Madagascar,Atsinanana
695,Madagascar,Atsinanana
696,Madagascar,Atsinanana
697,Madagascar,Atsinanana
698,Madagascar,Atsinanana
731,Malawi,Nkhata Bay
732,Malawi,Nkhata Bay
733,Malawi,Nkhata Bay
734,Malawi,Nkhata Bay
735,Malawi,Nkhata Bay
736,Malawi,Nkhata Bay
737,Malawi,Nkhata Bay
738,Malawi,Nkhata Bay
739,Malawi,Nkhata Bay
740,Malawi,Nkhata Bay
741,Malawi,Nkhata Bay
742,Malawi,Nkhata Bay
743,Malawi,Nkhata Bay
744,Malawi,Nkhata Bay
745,Malawi,Nkhata Bay
746,Malawi,Nkhata Bay
747,Malawi,Nkhata Bay
748,Malawi,Nkhata Bay
749,Malawi,Nkhata Bay
750,Malawi,Nkhata Bay
751,Malawi,Nkhata Bay
752,Malawi,Nkhata Bay
753,Malawi,Nkhata Bay
754,Malawi,Nkhata Bay
755,Malawi,Nkhata Bay
756,Malawi,Nkhata Bay
757,Malawi,Nkhata Bay
758,Malawi,Nkhata Bay
759,Malawi,Nkhata Bay
760,Malawi,Nkhata Bay
761,Malawi,Nkhata Bay
762,Malawi,Nkhata Bay
763,Malawi,Chiradzulu
764,Malawi,Chiradzulu
765,Malawi,Chiradzulu
766,Malawi,Chiradzulu
767,Malawi,Chiradzulu
768,Malawi,Chiradzulu
769,Malawi,Chiradzulu
770,Malawi,Chiradzulu
771,Malawi,Mulanje
772,Malawi,Mulanje
773,Malawi,Chiradzulu
774,Malawi,Chiradzulu
775,Malawi,Chiradzulu
776,Malawi,Chiradzulu
777,Malawi,Mulanje
778,Malawi,Mulanje
779,Malawi,Mulanje
780,Malawi,Mulanje
781,Malawi,Mulanje
782,Malawi,Mulanje
783,Malawi,Mulanje
784,Malawi,Mulanje
785,Malawi,Mulanje
786,Malawi,Mulanje
787,Malawi,Mulanje
788,Malawi,Mulanje
789,Malawi,Mulanje
790,Malawi,Mulanje
791,Malawi,Mulanje
792,Malawi,Mulanje
793,Malawi,Mulanje
794,Malawi,Mulanje
795,Mali,Kayes
796,Mali,Kayes
797,Mali,Kayes
798,Mali,Kayes
799,Mali,Kayes
800,Mali,Kayes
801,Mali,Kayes
802,Mali,Kayes
803,Mali,Kayes
804,Mali,Kayes
805,Mali,Kayes
806,Mali,Kayes
807,Mali,Kayes
808,Mali,Kayes
809,Mali,Kayes
810,Mali,Kayes
811,Mali,Kayes
812,Mali,Kayes
813,Mali,Kayes
814,Mali,Kayes
815,Mali,Kayes
816,Mali,Kayes
817,Mali,Kayes
818,Mali,Kayes
819,Mali,Kayes
820,Mali,Kayes
821,Mali,Kayes
822,Mali,Kayes
823,Mali,Kayes
824,Mali,Kayes
825,Mali,Kayes
826,Mali,Kayes
827,Mali,Koulikoro
828,Mali,Koulikoro
829,Mali,Koulikoro
830,Mali,Koulikoro
831,Mali,Koulikoro
832,Mali,Koulikoro
833,Mali,Koulikoro
834,Mali,Koulikoro
835,Mali,Koulikoro
836,Mali,Koulikoro
837,Mali,Koulikoro
838,Mali,Koulikoro
839,Mali,Koulikoro
840,Mali,Koulikoro
841,Mali,Koulikoro
